hshd_num,l,age_range,marital,income_range,homeowner,hshd_composition,hh_size,children
0688,Y,75+,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
2590,N,75+,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1171,Y,75+,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
1531,Y,75+,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
0403,N,75+,Unknown,UNDER 35K,Renter,NA,null,NOT AVAILABLE
0283,Y,25-34,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
3864,Y,25-34,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
4899,Y,25-34,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1443,N,35-44,Unknown,150K+,Homeowner,NA,null,NOT AVAILABLE
3598,Y,35-44,Unknown,35-49K,Unknown,NA,null,NOT AVAILABLE
3962,Y,35-44,Unknown,35-49K,Renter,NA,null,NOT AVAILABLE
0556,Y,35-44,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2932,Y,35-44,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1580,Y,35-44,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
2902,Y,35-44,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
0813,Y,45-54,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
0986,Y,45-54,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
1402,Y,45-54,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
3211,Y,45-54,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
0535,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1021,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1621,N,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1937,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2037,N,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2181,N,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2936,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
3572,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
4276,Y,45-54,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
1093,Y,45-54,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
2377,Y,45-54,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
4402,Y,45-54,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
4639,Y,45-54,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
1398,Y,45-54,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
3891,Y,45-54,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
4690,Y,45-54,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
4224,Y,45-54,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
4842,Y,45-54,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
4843,Y,45-54,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
0934,N,55-64,Unknown,35-49K,Renter,NA,null,NOT AVAILABLE
3686,Y,55-64,Unknown,35-49K,Renter,NA,null,NOT AVAILABLE
4181,Y,55-64,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
1314,Y,55-64,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2867,Y,55-64,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
2891,Y,55-64,Unknown,50-74K,Unknown,NA,null,NOT AVAILABLE
1499,Y,55-64,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
1763,N,55-64,Unknown,100-150K,Unknown,NA,null,NOT AVAILABLE
0936,Y,65-74,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
1592,Y,65-74,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
4762,Y,65-74,Unknown,75-99K,Renter,NA,null,NOT AVAILABLE
0245,Y,65-74,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
4498,Y,65-74,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
0124,Y,NOT AVAILABLE,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
1521,Y,NOT AVAILABLE,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
1934,Y,NOT AVAILABLE,Unknown,35-49K,Renter,NA,null,NOT AVAILABLE
2990,N,NOT AVAILABLE,Unknown,35-49K,Homeowner,NA,null,NOT AVAILABLE
4412,Y,NOT AVAILABLE,Unknown,35-49K,Renter,NA,null,NOT AVAILABLE
1726,Y,NOT AVAILABLE,Unknown,50-74K,Unknown,NA,null,NOT AVAILABLE
2384,Y,NOT AVAILABLE,Unknown,50-74K,Unknown,NA,null,NOT AVAILABLE
2918,Y,NOT AVAILABLE,Unknown,50-74K,Unknown,NA,null,NOT AVAILABLE
3502,Y,NOT AVAILABLE,Unknown,50-74K,Homeowner,NA,null,NOT AVAILABLE
